Obs,Study,X,Y,AdjustedY
1,1,1.16391,-2.92296,0.886005
2,1,1.94273,-1.03365,0.642602
3,1,2.50229,-1.00383,3.000373
4,1,3.98627,1.33325,4.357696
5,1,4.36177,1.13752,3.813666
6,1,4.98954,1.59278,4.355711
7,2,2.1091,-1.33751,1.164866
8,2,2.28976,-1.14376,1.580793
9,2,2.45645,-1.09304,2.616348
10,2,4.95084,1.4274,4.425112
11,2,5.92572,2.99572,6.457145
12,3,2.09605,-0.70073,1.474665
13,3,2.30059,-1.11007,1.619237
14,3,3.90388,0.17334,2.923988
15,3,5.15574,2.38882,5.380509
16,3,5.57553,1.78167,5.410837
17,3,5.60523,3.09353,6.389589
18,4,3.1955,0.18097,3.766463
19,4,4.32691,0.7431,3.642741
20,4,5.04092,1.947,4.884136
21,4,5.17521,1.07029,4.806475
22,4,5.57254,2.71423,5.117365
23,4,5.59532,2.43982,5.787204
24,5,2.31878,0.26487,1.650219
25,5,4.06027,1.99979,4.01755
26,6,2.48122,1.31151,2.033381
27,6,2.73224,1.32218,2.21003
28,6,3.66628,2.52286,3.649436
29,6,4.15568,2.83423,3.907685
30,6,4.57694,2.99086,4.507874
31,6,4.86356,3.90049,4.619561
32,7,2.767,1.18358,2.125706
33,7,2.79859,1.70206,2.515893
34,7,2.97074,1.84639,2.7178
35,7,3.85289,3.13155,4.635941
36,7,6.24981,5.27271,5.307471
37,7,6.80389,5.85844,6.990859
38,8,2.74107,-0.26691,2.34684
39,8,3.72445,1.32567,3.127501
40,8,4.51721,1.04086,4.783446
41,8,5.18536,2.40105,5.012804
42,9,3.24046,3.12334,3.314861
43,9,3.2864,3.52558,2.791165
44,9,4.52824,4.29043,4.083241
45,9,5.10468,4.04917,5.190446
46,9,5.40578,5.55135,5.603263
47,9,7.25461,7.2311,7.008939
48,10,3.09531,3.31464,2.153173
49,10,3.13951,2.5785,3.300918
50,10,3.86928,4.0819,4.004738
51,10,6.40856,6.6731,6.403454
52,10,7.35976,6.8001,7.902456
53,10,7.95716,8.2098,7.817707
54,11,3.24974,2.8825,2.974935
55,11,3.25369,4.8511,3.695179
56,11,4.4005,4.3538,3.954499
57,11,4.74897,6.076,4.53147
58,11,4.96576,5.9062,4.471565
59,12,3.00403,2.5733,2.048013
60,12,3.1542,3.9324,3.673089
61,12,4.95652,5.8456,4.207035
62,12,5.35746,5.2066,6.010887
63,12,5.62651,6.3312,5.751872
64,12,6.53297,6.6019,5.881591
65,12,6.6958,6.9498,7.101051
66,12,7.83844,8.1031,7.872914
67,13,5.44713,6.4838,4.84303
68,13,5.82682,6.2341,5.413382
69,13,6.76986,7.8937,7.262614
70,13,6.87949,6.9477,7.107462
71,13,8.47819,8.1336,8.930556
72,14,4.31493,5.228,4.042084
73,14,5.70501,6.0941,5.453168
74,14,6.70113,7.6858,7.07218
75,15,4.11223,5.2129,3.394821
76,15,4.55329,5.2169,5.02262
77,15,4.75641,6.1755,4.418824
78,15,5.0742,5.7492,5.190877
79,15,5.90125,6.5407,5.308542
80,15,6.84886,6.7004,7.494239
81,15,8.87813,10.2425,8.98207
82,16,4.25114,5.3359,4.299291
83,16,6.50762,9.1897,7.101632
84,16,6.52857,8.4259,6.057743
85,16,6.67694,8.2782,6.786494
86,16,6.79539,8.3206,6.895271
87,16,8.62833,10.4385,8.485119
88,17,6.47237,7.6132,6.389649
89,17,6.73826,7.7381,6.981667
90,17,7.57947,8.5328,8.20555
91,17,8.11267,8.9045,8.436064
92,17,9.18169,9.7732,8.843197
93,18,5.49319,6.6492,5.155737
94,18,5.62711,6.4464,5.322191
95,18,6.67182,8.5909,6.927195
96,18,7.4494,9.2077,8.704882
97,18,8.13165,9.365,8.224313
98,18,8.31896,9.5025,8.628547
99,18,8.74606,10.3598,8.758426
100,18,8.92038,9.4361,9.271535
101,18,9.43227,11.0051,9.143463
102,19,6.06067,7.9306,5.887499
103,19,7.98874,10.1887,7.561783
104,19,8.35784,10.9856,9.055234
105,19,9.52798,11.507,10.08612
106,19,9.68213,12.6051,10.10259
107,20,7.15668,9.9928,7.610491
108,20,9.61256,12.2149,9.784963
